"StationID","AQSID","Longitude","Latitude","CountyName","X","Y","NAs"
"482016000","482016000",-95.2533,29.6842,"HARRIS",1958499.00014173,7294745.82204471,1
"482030002","482030002",-94.1681,32.6706,"HARRISON",2045759.90004512,7631073.12819802,0
"482031079","482031079",-94.4815,32.4702,"HARRISON",2017566.08120551,7607331.04223888,0
"482150043","482150043",-98.29107,26.226226,"HIDALGO",1671033.75904722,6902895.88414282,0
"482151046","482151046",-98.152066,26.288622,"HIDALGO",1684829.12855871,6910020.61330719,0
"482210001","482210001",-97.8033,32.4419,"HOOD",1706157.16932931,7593326.81526771,0
"482271072","482271072",-101.407222,32.280278,"HOWARD",1367700.78339858,7574163.88141039,0
"482311006","482311006",-96.115561,33.153077,"HUNT",1861725.70113656,7676640.8287274,0
"482331073","482331073",-101.43967,35.676128,"HUTCHINSON",1369554.182284,7951175.85641509,0
"482450009","482450009",-94.0747,30.0394,"JEFFERSON",2070135.06441819,7339622.84960147,0
"482450011","482450011",-93.9875,29.8942,"JEFFERSON",2079392.86889865,7323973.51872485,0
"482450014","482450014",-93.8964,29.9614,"JEFFERSON",2087751.50998874,7331905.61457399,8
"482450017","482450017",-93.9533,29.9908,"JEFFERSON",2082099.45835098,7334865.10710582,1
"482450018","482450018",-94.0008,29.9428,"JEFFERSON",2077820.06575751,7329293.31471666,0
"482450022","482450022",-94.3178,29.863952,"JEFFERSON",2047764.76600093,7318937.1894816,0
"482450101","482450101",-93.8969,29.7181,"JEFFERSON",2089192.51979594,7304925.61179046,7
"482450102","482450102",-94.0006,29.9425,"JEFFERSON",2077841.11520465,7329261.09087064,8
"482451035","482451035",-94.0111,29.9786,"JEFFERSON",2076613.9465534,7333209.62981653,0
"482451050","482451050",-94.090912,30.067316,"JEFFERSON",2068411.17026888,7342635.47317706,1
"482451071","482451071",-93.962194,29.84855,"JEFFERSON",2082105.47831117,7319044.2928542,0
"482510003","482510003",-97.436748,32.353593,"JOHNSON",1740779.05923293,7584257.29143328,2
"482511008","482511008",-97.169116,32.470156,"JOHNSON",1765582.61776908,7597817.06497334,0
"482570005","482570005",-96.3175,32.565,"KAUFMAN",1845101.31790903,7610700.01028539,2
"482730314","482730314",-97.2986,27.4269,"KLEBERG",1767102.28722132,7037762.67069901,3
"483031028","483031028",-101.78698,33.5853,"LUBBOCK",1334341.49555225,7719639.30796224,0
"483091037","483091037",-97.0706,31.6531,"MC LENNAN",1777225.51586753,7507302.61511252,0
"483230004","483230004",-100.451155,28.704607,"MAVERICK",1455965.01909523,7176267.68077277,0
"483390078","483390078",-95.425,30.3503,"MONTGOMERY",1938866.52073326,7367961.55701534,1
"483491051","483491051",-96.3992,32.0319,"NAVARRO",1839374.39475616,7551245.48078634,0
"483491081","483491081",-96.352,31.9041,"NAVARRO",1844289.35283065,7537198.25032503,0
"483550025","483550025",-97.434247,27.765335,"NUECES",1752823.18188111,7074940.29033374,0
"483550026","483550026",-97.5558,27.8333,"NUECES",1740681.26922566,7082201.36652079,0
"483550029","483550029",-97.41925,27.807539,"NUECES",1754191.60716823,7079651.66994616,0
"483550032","483550032",-97.4314,27.8042,"NUECES",1753003.69451194,7079253.79589887,0
"483550034","483550034",-97.4657,27.811814,"NUECES",1749606.45971583,7080019.72007043,0
"483551024","483551024",-97.4136,27.8036,"NUECES",1754758.20697702,7079228.13352277,0
"483611001","483611001",-93.7617,30.0844,"ORANGE",2099939.41760152,7346267.66708426,0
"483611083","483611083",-93.725897,30.153675,"ORANGE",2102942.99581216,7354144.10025677,0
"483670081","483670081",-97.9058,32.8686,"PARKER",1695641.88531069,7640540.20091161,0
"483739991","483739991",-94.6739,30.6681,"POLK",2009167.45482647,7406446.59093255,7
"483751025","483751025",-101.787356,35.236708,"POTTER",1337266.64594017,7902916.54764475,3
"483751077","483751077",-101.741756,35.316289,"POTTER",1341556.9326677,7911675.41744714,1
"483819991","483819991",-101.6649,34.8803,"RANDALL",1347820.29351247,7863209.48548078,0
"483951076","483951076",-96.481944,31.168889,"ROBERTSON",1834626.01138883,7455150.28750325,2
"483970001","483970001",-96.4592,32.9361,"ROCKWALL",1830507.89371308,7651475.48026131,0
"484230007","484230007",-95.415751,32.344008,"SMITH",1930580.86767775,7589322.49751837,0
"484390075","484390075",-97.4764,32.9881,"TARRANT",1735447.74486464,7654649.54710505,2
"484391002","484391002",-97.356567,32.805818,"TARRANT",1747109.51548029,7634665.30712493,0
"484391053","484391053",-97.337983,32.664739,"TARRANT",1749223.38042559,7619037.24913955,2
"484392003","484392003",-97.282088,32.922498,"TARRANT",1753752.17513288,7647792.97089034,0
"484393009","484393009",-97.063705,32.98426,"TARRANT",1773954.4296138,7655172.798932,0
"484393011","484393011",-97.0886,32.6558,"TARRANT",1772592.08546461,7618632.28007201,0
"484491078","484491078",-94.8474,33.0752,"TITUS",1980146.84374991,7672819.83221236,4
"484530014","484530014",-97.760002,30.3542,"TRAVIS",1714914.29468194,7361497.8781966,0
"484530020","484530020",-97.8723,30.483168,"TRAVIS",1703865.95178989,7375608.7272147,0
"484530021","484530021",-97.7131,30.2633,"TRAVIS",1719622.23765885,7351495.14751165,0
"484531068","484531068",-97.69166,30.35386,"TRAVIS",1721471.14823203,7361594.84912676,0
"484690003","484690003",-97.0056,28.8358,"VICTORIA",1791839.74751938,7194683.41279938,0
"484790017","484790017",-99.5031,27.5017,"WEBB",1549098.74056817,7042901.38905808,0
"484931038","484931038",-98.14806,29.130675,"WILSON",1679959.52438774,7224966.75988726,24
