"AQSID","X","Y","Temp","CountyName"
"483550029",1754191.60716823,7079651.66994616,26,"NUECES"
"483550032",1753003.69451194,7079253.79589887,26.3,"NUECES"
"483550034",1749606.45971583,7080019.72007043,26.6,"NUECES"
"483551024",1754758.20697702,7079228.13352277,26,"NUECES"
"483611001",2099939.41760152,7346267.66708426,24.5,"ORANGE"
"483611083",2102942.99581216,7354144.10025677,25.1,"ORANGE"
"483670081",1695641.88531069,7640540.20091161,24.3,"PARKER"
"483739991",2009167.45482647,7406446.59093255,24.3,"POLK"
"483751025",1337266.64594017,7902916.54764475,29.7,"POTTER"
"483751077",1341556.9326677,7911675.41744714,29.8,"POTTER"
"483819991",1347820.29351247,7863209.48548078,30.1,"RANDALL"
"483951076",1834626.01138883,7455150.28750325,26.5,"ROBERTSON"
"483970001",1830507.89371308,7651475.48026131,25.4,"ROCKWALL"
"484230007",1930580.86767775,7589322.49751837,25.2,"SMITH"
"484390075",1735447.74486464,7654649.54710505,24.9,"TARRANT"
"484391002",1747109.51548029,7634665.30712493,25.7,"TARRANT"
"484391053",1749223.38042559,7619037.24913955,26,"TARRANT"
"484392003",1753752.17513288,7647792.97089034,25,"TARRANT"
"484393009",1773954.4296138,7655172.798932,25.4,"TARRANT"
"484393011",1772592.08546461,7618632.28007201,25.5,"TARRANT"
"484491078",1980146.84374991,7672819.83221236,24.8,"TITUS"
"484530014",1714914.29468194,7361497.8781966,27,"TRAVIS"
"484530020",1703865.95178989,7375608.7272147,26.8,"TRAVIS"
"484530021",1719622.23765885,7351495.14751165,28.3,"TRAVIS"
"484531068",1721471.14823203,7361594.84912676,27.7,"TRAVIS"
"484690003",1791839.74751938,7194683.41279938,26.9,"VICTORIA"
"484790017",1549098.74056817,7042901.38905808,34.4,"WEBB"
"480971504",1763696.64869916,7727009.26505144,25,"COOKE"
"481131500",1799633.03460222,7616512.58130195,23.9,"DALLAS"
"481131505",1788285.79464863,7643876.44992828,25,"DALLAS"
"481670056",1989552.60755863,7264780.74752135,23.8,"GALVESTON"
"482010617",1983225.67073426,7311086.43814217,23.6,"HARRIS"
"482010803",1965326.26398379,7303998.13949793,24.1,"HARRIS"
"482511063",1770216.65389239,7605899.62141852,24.7,"JOHNSON"
"482511501",1732006.95971922,7598308.83785385,23.1,"JOHNSON"
"483371507",1700846.90389801,7716988.83483037,24.9,"MONTAGUE"
"483631502",1678377.91026076,7634680.0358163,25.8,"PALO PINTO"
"483671506",1712286.90744006,7628651.13127914,24.3,"PARKER"
"484391062",1762129.35657487,7618705.59382299,24.6,"TARRANT"
"484391065",1754399.36384463,7586672.68319241,24.9,"TARRANT"
"484391503",1739471.55357383,7616803.71392259,24.3,"TARRANT"
"484851508",1638095.5498513,7748552.92417364,27.5,"WICHITA"
"484971064",1734353.50450803,7660839.43217584,24.7,"WISE"
"483611100",2088649.59690912,7356271.01069466,22.5,"ORANGE"
