"t1","t2","t3","mse1","mse2","mse3"
-0.066773310971891,-0.0533361280481726,-0.0411382135324713,1.45785188056903,1.46121442801826,1.46194079212544
-0.080997700438717,-0.0613060042167472,-0.0463468999224796,1.45796964445209,1.46124400248166,1.46195165685483
-0.0910437677865972,-0.0668931491866471,-0.0499794846078318,1.45803559060005,1.46126062173143,1.46195777660118
-0.0297334906604646,-0.032238381199448,-0.0272027162508381,1.45753502767794,1.4611353239237,1.46191185029209
-0.0521549071668138,-0.044946576624986,-0.0355644534693721,1.45762943449188,1.46115893656031,1.46192049967697
-0.066832930684936,-0.0532306816779517,-0.0410018521909565,1.45771705196064,1.46118088044554,1.46192854548788
-0.0860354175198557,-0.0639604021609456,-0.0479978905743449,1.45781758929456,1.46120619668584,1.46193786227117
-0.104154024867996,-0.0740223013473134,-0.0545334013016154,1.45793900477603,1.46123679172502,1.46194912769983
-0.122194520845464,-0.0839503635835559,-0.060943456945897,1.45806819120047,1.46126944299691,1.46196117559559
-0.132983769146461,-0.0898646773146204,-0.0647541532000744,1.45818242291147,1.46129825239607,1.46197179089286
0.097369708150695,0.040463945796176,0.0208744972050286,1.45773500676716,1.46118548142147,1.46193026161788
0.0805281744957722,0.0307397826612952,0.0144082870844451,1.45765966323088,1.46116654413819,1.46192330055614
0.0598840609920169,0.0189036117421846,0.00657254277519076,1.45756856696136,1.46114375589596,1.46191495132223
0.0381389809550521,0.00647732666179411,-0.00163800255188939,1.45749881759848,1.46112634264688,1.46190858035975
0.0148457536096886,-0.00676586545259622,-0.0103609773544652,1.45744580123078,1.46111318383154,1.46190378552885
-0.0086729769283766,-0.0201187747485554,-0.0191505384506714,1.45743318921837,1.46111010574333,1.46190267706099
-0.0302411130982799,-0.0323446327558999,-0.02719185209558,1.45745871595754,1.46111653664689,1.461905044137
-0.0519484905514132,-0.0445778455679674,-0.0352088557707975,1.45750482188851,1.46112817736164,1.46190933550749
-0.0728870764832566,-0.0563253496212002,-0.0428868199686498,1.45757830974027,1.46114669437947,1.46191615286307
-0.0929778053016603,-0.0675438896733804,-0.0501980307488723,1.4576800053742,1.46117229911788,1.46192557506839
-0.11163440294155,-0.0779099850945968,-0.0569334749938912,1.45780883451561,1.46120472344671,1.46193750429466
-0.127276055566117,-0.0865894736598829,-0.0625713951972888,1.45797505025182,1.46124646498314,1.46195283868866
-0.138295181342762,-0.0926295062277133,-0.0664625649848038,1.45808748913145,1.46127481813273,1.46196328480808
0.138998328938949,0.0647306814058147,0.0371070685572675,1.45793840836999,1.46123685109712,1.46194920632732
0.119721290646031,0.0535667128021899,0.0296717589223836,1.45780048300428,1.46120224638173,1.46193650155198
0.101887619269727,0.0432534378491084,0.0228081046123111,1.45769547473514,1.46117589164932,1.46192682372296
0.0811590862353773,0.0313523344798717,0.014923332031608,1.45758053822354,1.46114715401138,1.46191629866559
0.0584205816793161,0.0183588924743335,0.00633951713024895,1.45747688662888,1.46112131115069,1.46190685273363
0.0351546508933453,0.00510518005258772,-0.00240044937999017,1.45740004594658,1.46110220203041,1.46189988079309
0.0116302254061431,-0.00825531771006436,-0.0111952627534153,1.45735171030513,1.46109023795819,1.46189553015968
-0.0118767626193578,-0.0215653409995623,-0.0199412021852623,1.45733310765557,1.46108571702006,1.46189390759374
-0.0350889638395158,-0.0346670495093321,-0.0285342422170808,1.45734496435164,1.46108881611331,1.46189507662389
-0.0577333173182481,-0.0474052875006214,-0.036872211777452,1.45738748175624,1.46109958564498,1.46189905575408
-0.0795467080995866,-0.0596308217558125,-0.0448569358794774,1.45746032485569,1.46111794682209,1.46190581750833
-0.100281405028635,-0.0712034534546154,-0.0523962942285955,1.45756262285133,1.4611436914956,1.46191528829069
-0.11754258456291,-0.0807948811010308,-0.0586282249065371,1.45767694338084,1.46117244770201,1.4619258637644
-0.146862704393058,-0.0968945184526526,-0.0690084120479243,1.45791298007341,1.46123200929945,1.46194781802874
-0.144935859176603,-0.095982657020812,-0.0684874371241503,1.45796618685384,1.46124505184548,1.46195252754669
0.179665452462452,0.0884825633554353,0.0530085022468268,1.45826391824571,1.46131869447731,1.46197929920787
0.165705929424026,0.0803659007019706,0.047591092861545,1.45812316328159,1.46128338979477,1.46196633923148
0.145274552655973,0.0685409038242639,0.039720309798242,1.45793709119147,1.46123678170139,1.46194924656229
0.124790924698445,0.0567478375849906,0.0318955245979186,1.45777304695279,1.46119577103067,1.46193422760374
0.102971928462518,0.044238531051796,0.0236161641671782,1.45762386803284,1.46115854859341,1.46192061491855
0.0800075505774349,0.0311170221464568,0.014948860124129,1.45749452550976,1.46112633705495,1.46190885094756
0.0562851097082629,0.0176011942578168,0.00603601723054498,1.45738933227059,1.46110019284594,1.46189931676136
0.0320703606280775,0.00384242946982772,-0.00302258170152536,1.45731054241414,1.46108066456848,1.46189220923177
0.00764065007891813,-0.0100014456981997,-0.0121229569936481,1.45726002026454,1.46106820604808,1.4618876912478
-0.0167205180792239,-0.023769258326577,-0.0211589747793882,1.45723918208583,1.46106316283818,1.46188588706551
-0.0407291804555981,-0.0372997401804621,-0.0300244924007982,1.45724894871066,1.46106576119827,1.46188687849463
-0.064106709978045,-0.0504348375793538,-0.0386155441493125,1.45728971010481,1.46107609970859,1.46189070195646
-0.0865855379365801,-0.0630229812038175,-0.0468325018347373,1.45736130268805,1.46109414366282,1.46189734644748
-0.107914629335288,-0.0749222163234414,-0.0545821441247452,1.45746300013818,1.46111972239432,1.46190675245847
-0.12503226685745,-0.0844258805720638,-0.0607531830655559,1.4575706813395,1.4611468040849,1.46191671101131
