"X","Y"
1618007.07156546,6926658.29788512
1628007.07156546,6926658.29788512
1638007.07156546,6926658.29788512
1648007.07156546,6926658.29788512
1658007.07156546,6926658.29788512
1668007.07156546,6926658.29788512
1678007.07156546,6926658.29788512
1688007.07156546,6926658.29788512
1698007.07156546,6926658.29788512
1708007.07156546,6926658.29788512
1718007.07156546,6926658.29788512
1728007.07156546,6926658.29788512
1738007.07156546,6926658.29788512
1748007.07156546,6926658.29788512
1757948.37502974,6926605.38434196
1764134.47189349,6924176.66325221
1776207.65128441,6926413.91254811
1582859.61690731,6939064.3717698
1588617.67752164,6937479.09480829
1598007.07156546,6936658.29788512
1608007.07156546,6936658.29788512
1618007.07156546,6936658.29788512
1628007.07156546,6936658.29788512
1638007.07156546,6936658.29788512
1648007.07156546,6936658.29788512
1658007.07156546,6936658.29788512
1668007.07156546,6936658.29788512
1678007.07156546,6936658.29788512
1688007.07156546,6936658.29788512
1698007.07156546,6936658.29788512
1708007.07156546,6936658.29788512
1718007.07156546,6936658.29788512
1728007.07156546,6936658.29788512
1738007.07156546,6936658.29788512
1748007.07156546,6936658.29788512
1755813.60238851,6936097.24531069
1771452.41413109,6939688.13048387
1773991.81514709,6934779.42828841
1581683.62978701,6948355.58476791
1588007.07156546,6946658.29788512
1598007.07156546,6946658.29788512
1608007.07156546,6946658.29788512
1618007.07156546,6946658.29788512
1628007.07156546,6946658.29788512
1638007.07156546,6946658.29788512
1648007.07156546,6946658.29788512
1658007.07156546,6946658.29788512
1668007.07156546,6946658.29788512
1678007.07156546,6946658.29788512
1688007.07156546,6946658.29788512
1698007.07156546,6946658.29788512
1708007.07156546,6946658.29788512
1718007.07156546,6946658.29788512
1728007.07156546,6946658.29788512
1738007.07156546,6946658.29788512
1748007.07156546,6946658.29788512
1754265.62826923,6945619.68284905
1768931.66372682,6946930.51141304
1580170.68835745,6957343.2204503
1588007.07156546,6956658.29788512
1598007.07156546,6956658.29788512
1608007.07156546,6956658.29788512
1618007.07156546,6956658.29788512
1628007.07156546,6956658.29788512
1638007.07156546,6956658.29788512
1648007.07156546,6956658.29788512
1658007.07156546,6956658.29788512
1668007.07156546,6956658.29788512
1678007.07156546,6956658.29788512
1688007.07156546,6956658.29788512
1698007.07156546,6956658.29788512
1708007.07156546,6956658.29788512
1718007.07156546,6956658.29788512
1728007.07156546,6956658.29788512
1738007.07156546,6956658.29788512
1747797.00270404,6956545.82521501
1753947.22366005,6953883.34046249
1765602.04940955,6956845.16904466
1572570.3048682,6970912.22933851
1578469.05594541,6966972.24581119
1588007.07156546,6966658.29788512
1598007.07156546,6966658.29788512
1608007.07156546,6966658.29788512
1618007.07156546,6966658.29788512
1628007.07156546,6966658.29788512
1638007.07156546,6966658.29788512
1648007.07156546,6966658.29788512
1658007.07156546,6966658.29788512
1668007.07156546,6966658.29788512
1678007.07156546,6966658.29788512
1688007.07156546,6966658.29788512
1698007.07156546,6966658.29788512
1708007.07156546,6966658.29788512
1718007.07156546,6966658.29788512
1728007.07156546,6966658.29788512
1738007.07156546,6966658.29788512
1747364.37070043,6966737.46589992
1760471.10557607,6968286.9033244
1763803.61196957,6964878.75427898
1562087.54977667,6980824.21106372
1569332.27366673,6977497.17836126
1578007.07156546,6976658.29788512
1588007.07156546,6976658.29788512
1598007.07156546,6976658.29788512
1608007.07156546,6976658.29788512
1618007.07156546,6976658.29788512
1628007.07156546,6976658.29788512
1638007.07156546,6976658.29788512
1648007.07156546,6976658.29788512
1658007.07156546,6976658.29788512
1668007.07156546,6976658.29788512
1678007.07156546,6976658.29788512
1688007.07156546,6976658.29788512
1698007.07156546,6976658.29788512
1708007.07156546,6976658.29788512
1718007.07156546,6976658.29788512
1728007.07156546,6976658.29788512
1738007.07156546,6976658.29788512
1747951.51685569,6976681.23641416
1759721.0486023,6976316.85741834
1560224.49991557,6988097.37175545
1568007.07156546,6986658.29788512
1578007.07156546,6986658.29788512
1588007.07156546,6986658.29788512
1598007.07156546,6986658.29788512
1608007.07156546,6986658.29788512
1618007.07156546,6986658.29788512
1628007.07156546,6986658.29788512
1638007.07156546,6986658.29788512
1648007.07156546,6986658.29788512
1658007.07156546,6986658.29788512
1668007.07156546,6986658.29788512
1678007.07156546,6986658.29788512
1688007.07156546,6986658.29788512
1698007.07156546,6986658.29788512
1708007.07156546,6986658.29788512
1718007.07156546,6986658.29788512
1728007.07156546,6986658.29788512
1738007.07156546,6986658.29788512
1748007.07156546,6986658.29788512
1757872.59664597,6986654.51927811
1559242.16945558,6996453.0189505
1568007.07156546,6996658.29788512
1578007.07156546,6996658.29788512
1588007.07156546,6996658.29788512
1598007.07156546,6996658.29788512
1608007.07156546,6996658.29788512
1618007.07156546,6996658.29788512
1628007.07156546,6996658.29788512
1638007.07156546,6996658.29788512
1648007.07156546,6996658.29788512
1658007.07156546,6996658.29788512
1668007.07156546,6996658.29788512
1678007.07156546,6996658.29788512
1688007.07156546,6996658.29788512
1698007.07156546,6996658.29788512
1708007.07156546,6996658.29788512
1718007.07156546,6996658.29788512
1728007.07156546,6996658.29788512
1738007.07156546,6996658.29788512
1748007.07156546,6996658.29788512
1756497.46702239,6996788.44756441
